killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
Down and Out,Malcolm_x,9.0,496989.8,312569.7,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,17.25,Player 180,22.0,497385.4,331528.2
M16A4,Malcolm_x,9.0,496989.8,312569.7,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,17.25,Player 181,22.0,497819.4,331981.3
AKM,G_Berg,7.0,460416.7,414748.8,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,23.7,Player 182,16.0,459817.9,414426.3
AKM,Lukesnake17,20.0,488034.1,347220.3,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,20.166666666666668,Player 183,9.0,487444.2,347651.0
SKS,AlooGobi,2.0,501062.9,425078.6,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,30.3,Player 184,3.0,493043.4,434458.1
M416,Powfa,3.0,495501.2,429826.2,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,29.433333333333334,Player 185,6.0,495755.7,438322.0
Down and Out,Snowzcone,44.0,466173.1,642295.2,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,1.5333333333333334,Player 186,49.0,466214.9,641051.5
M416,DevilBlood35,1.0,512029.6,450259.2,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,26.316666666666666,Player 187,9.0,509867.3,437920.8
Down and Out,unknown,,,,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,27.433333333333334,Player 188,8.0,475198.1,426731.2
S1897,MaelstromPhoenix,14.0,446553.8,621515.8,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,1.75,Player 189,46.0,446698.3,621034.1
M416,AlooGobi,2.0,503140.7,433313.3,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,31.35,Player 190,3.0,498006.2,437488.8
AKM,SinisterJake,17.0,608792.0,479479.8,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,6.75,Player 191,32.0,608422.8,478874.8
P92,Homebrw,9.0,354734.6,397039.7,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,4.65,Player 192,38.0,353669.1,397544.6
Micro UZI,NoMersee,26.0,337859.9,160601.2,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,2.7666666666666666,Player 194,42.0,339345.6,160269.6
SCAR-L,Price,4.0,425943.7,425374.7,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,23.783333333333335,Player 195,15.0,420891.6,432304.6
SKS,Malcolm_x,9.0,483222.9,345753.8,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,22.0,Player 196,5.0,462537.2,333383.4
SCAR-L,Price,4.0,426267.9,425472.6,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,23.716666666666665,Player 197,15.0,417302.6,431821.8
M416,biubiu_RNG,43.0,451052.9,629640.1,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,2.6333333333333333,Player 198,37.0,450792.1,629575.1
SCAR-L,DruggyWitHoes,14.0,443493.3,625540.4,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,5.966666666666667,Player 199,35.0,443663.6,624165.9
Down and Out,DevilBlood35,1.0,549587.6,594442.8,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,7.716666666666667,Player 200,31.0,552512.1,594664.4
Tommy Gun,danielH0529,35.0,431516.6,636198.3,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,1.4833333333333334,Player 201,48.0,433497.2,635122.9
Grenade,danielH0529,35.0,443659.8,623592.1,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,5.9,Player 202,14.0,444418.6,624538.6
AKM,XxSWAGFISHxX,16.0,459874.5,415081.1,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,22.65,Player 203,17.0,454229.3,425443.1
M16A4,T4GY0URE1T,10.0,418100.5,384076.3,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,22.1,Player 204,17.0,418285.2,390129.1
Bluezone,unknown,,,,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,27.433333333333334,Player 205,8.0,468805.0,430984.8
Punch,MitsuhaSakura,41.0,464406.3,640754.9,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,1.5333333333333334,Player 206,49.0,464351.3,640805.6
SCAR-L,Price,4.0,448660.3,446969.6,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,25.233333333333334,Player 207,10.0,449527.3,418707.9
M416,DevilBlood35,1.0,510092.7,437654.8,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,30.033333333333335,Player 208,4.0,505057.9,442163.2
AKM,SinisterJake,17.0,549784.7,455996.3,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,13.233333333333333,Player 209,25.0,548009.1,455568.8
Bluezone,unknown,,,,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,29.8,Player 210,4.0,498605.2,442824.2
SCAR-L,Price,4.0,442933.5,439911.3,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,24.516666666666666,Player 212,14.0,450018.6,456286.8
Mini 14,B0nD0k,37.0,446881.4,629891.8,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,1.4833333333333334,Player 213,43.0,446780.2,629792.2
Down and Out,Joki123321,36.0,414960.3,293064.0,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,3.683333333333333,Player 214,40.0,414813.2,293085.9
AKM,drphildidurmom,3.0,467323.7,369631.3,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,18.333333333333332,Player 215,21.0,469079.2,369980.0
M16A4,ClaudeAuditore,19.0,373596.3,169088.4,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,12.05,Player 216,26.0,369566.1,167941.1
Down and Out,ClaudeAuditore,19.0,374024.1,168617.3,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,12.05,Player 217,26.0,369965.7,168535.6
Micro UZI,NoMersee,26.0,337938.6,172028.9,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,3.8333333333333335,Player 218,39.0,336816.6,173889.0
M416,DevilBlood35,1.0,504913.5,441667.2,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,31.416666666666668,Player 219,2.0,503132.6,433288.4
S12K,asfqwfqvw,47.0,432168.4,636683.8,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,1.7333333333333334,Player 220,48.0,432251.5,636724.3
SKS,AlooGobi,2.0,445105.6,350414.8,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,21.466666666666665,Player 221,19.0,447817.6,343075.6
Down and Out,Powfa,3.0,466951.2,369526.6,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,18.333333333333332,Player 222,21.0,468927.8,369856.6
S12K,SavageMonkey,39.0,342712.8,173653.6,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,2.2666666666666666,Player 223,42.0,342536.6,173721.0
Bluezone,unknown,,,,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,31.116666666666667,Player 224,2.0,503327.2,426248.7
UMP9,G_Berg,7.0,410583.5,300929.2,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,5.033333333333333,Player 225,36.0,411233.6,301051.0
SCAR-L,berty69,7.0,460054.8,415165.3,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,23.683333333333334,Player 226,16.0,459861.2,415005.0
Punch,Mr-chen2,28.0,420025.0,642216.0,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,2.066666666666667,Player 227,24.0,420101.6,642250.4
AKM,drphildidurmom,3.0,491049.8,423913.3,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,28.45,Player 228,7.0,486227.1,422630.3
Punch,ClaudeAuditore,19.0,364248.1,130731.0,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,2.0,Player 229,38.0,0.0,0.0
Bluezone,unknown,,,,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,22.716666666666665,Player 230,40.0,0.0,0.0
Down and Out,NoMersee,26.0,337554.9,160691.9,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,3.8333333333333335,Player 231,39.0,337866.8,173064.0
UMP9,berty69,7.0,410245.8,302226.6,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,5.333333333333333,Player 232,36.0,410241.8,300585.8
Bluezone,unknown,,,,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,29.5,Player 233,5.0,491863.5,436404.9
M416,danielH0529,35.0,444022.6,630713.9,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,5.083333333333333,Player 234,37.0,444324.2,626080.7
Sickle,Sun-aiyou,35.0,362384.9,519014.8,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,5.383333333333334,Player 235,35.0,0.0,0.0
UMP9,Powfa,3.0,494339.5,179141.3,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,9.866666666666667,Player 236,29.0,494303.5,179715.1
AKM,DevilBlood35,1.0,550328.1,593490.4,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,7.716666666666667,Player 237,31.0,552685.8,589054.6
AKM,Relugar,22.0,574787.9,381992.4,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,3.066666666666667,Player 238,25.0,573797.7,382727.6
SCAR-L,UGAT,41.0,456399.2,627075.1,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,1.4833333333333334,Player 239,50.0,456790.2,627332.0
Bluezone,Naksam,8.0,474212.0,426607.0,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,27.383333333333333,Player 240,7.0,463202.0,417882.1
Mini 14,G_Berg,7.0,459813.2,415137.4,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,26.3,Player 241,10.0,458454.4,422289.8
Mini 14,mrsparkles,46.0,449266.6,621581.3,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,1.3666666666666667,Player 242,50.0,448709.4,621835.1
SKS,danielH0529,35.0,433063.9,637233.8,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,1.9,Player 243,47.0,432978.0,637126.6
Bluezone,unknown,,,,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,24.816666666666666,Player 244,13.0,470272.3,360425.0
SKS,D1zhihenDidao,33.0,468564.2,639331.8,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,3.5166666666666666,Player 245,41.0,468404.1,641190.4
SKS,FY-yang,33.0,468047.2,640120.6,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,3.3333333333333335,Player 246,41.0,468374.8,639715.6
M416,Malcolm_x,9.0,489135.5,346849.5,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,20.583333333333332,Player 247,20.0,489348.5,348098.7
S1897,MaelstromPhoenix,14.0,447412.9,621057.6,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,2.0,Player 248,46.0,447168.1,620978.4
Down and Out,unknown,,,,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,24.816666666666666,Player 249,13.0,471400.7,366823.9
UMP9,Powfa,3.0,495277.5,179049.8,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,9.95,Player 251,29.0,494846.7,179123.1
Down and Out,Spacemode,2.0,503325.1,404547.0,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,24.916666666666668,Player 252,11.0,503817.7,406440.2
Down and Out,Powfa,3.0,495429.8,429625.1,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,29.433333333333334,Player 253,6.0,495505.2,436603.5
Down and Out,Wildo,4.0,366621.8,406317.6,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,6.666666666666667,Player 254,34.0,366067.5,405829.2
AKM,SinisterJake,17.0,607308.2,476229.1,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,7.45,Player 255,32.0,607243.6,476312.8
Punch,RXYXYX,24.0,420143.2,643506.4,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,2.6666666666666665,Player 256,28.0,420165.8,643602.9
SCAR-L,DruggyWitHoes,14.0,443584.2,625467.9,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,5.95,Player 257,35.0,443665.2,624530.9
SCAR-L,UGAT,41.0,457741.7,631491.8,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,1.7833333333333334,Player 258,45.0,457598.9,631505.0
Micro UZI,Joki123321,36.0,414011.6,292571.7,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,3.683333333333333,Player 259,40.0,414502.8,292381.7
Mini 14,B0nD0k,37.0,450753.3,629314.8,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,2.716666666666667,Player 260,43.0,450970.2,629563.2
Down and Out,DruggyWitHoes,14.0,444372.9,627542.3,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,7.25,Player 261,33.0,444453.6,627905.8
M416,DruggyWitHoes,14.0,444300.2,627619.8,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,7.25,Player 262,33.0,444729.3,627888.4
Groza,DevilBlood35,1.0,551779.9,538686.6,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,13.6,Player 263,23.0,551105.9,539826.2
M16A4,huan769452,18.0,328985.3,550958.7,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,13.4,Player 264,24.0,332653.0,551011.2
Hit by Car,DevilBlood35,1.0,549225.7,529940.1,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,16.833333333333332,Player 265,23.0,548910.6,529525.1
Mini 14,PapaWink,5.0,462599.1,333673.5,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,21.833333333333332,Player 266,19.0,448814.5,345601.1
M416,DruggyWitHoes,14.0,386561.5,467653.2,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,20.733333333333334,Player 267,18.0,386301.1,468526.6
AKM,Spacemode,2.0,503369.1,406133.5,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,24.916666666666668,Player 268,11.0,504002.3,406584.3
M16A4,T4GY0URE1T,10.0,451501.6,419758.9,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,24.833333333333332,Player 269,40.0,451843.5,421350.9
AKM,MitsuhaSakura,41.0,469007.8,639468.7,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,2.5833333333333335,Player 270,44.0,470070.9,639671.6
M16A4,Malcolm_x,9.0,366072.5,396322.2,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,9.733333333333333,Player 271,35.0,361963.2,385481.1
M416,DruggyWitHoes,14.0,443678.6,604119.5,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,10.916666666666666,Player 272,28.0,443697.5,604310.7
M416,Malcolm_x,9.0,488238.5,345538.2,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,20.75,Player 273,20.0,487685.4,345350.2
Bluezone,unknown,,,,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,22.1,Player 274,18.0,385709.2,469951.1
AKM,Wildo,4.0,366553.6,406316.7,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,6.666666666666667,Player 275,34.0,365941.7,405723.8
Tommy Gun,ImHideOnBush,35.0,432258.7,636266.3,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,1.9833333333333334,Player 276,47.0,432315.1,636210.4
